source,target,company,similarity
debenedictis nicholas,lawless robert j,EXC,0.875
jojo linda p,joskow paul l,EXC,0.844444
joskow paul l,lawless robert j,EXC,0.944444
gray david c,jarzynka david,BRKS,0.810376
gray david c,joseph jason,BRKS,0.80372
gray david c,robertson lindon g,BRKS,0.810187
joseph jason,montone william t.,BRKS,0.815671
joseph jason,pietrantoni david,BRKS,0.876847
montone william t.,schwartz stephen s,BRKS,0.814184
soran philip,sterling brian r,PIPR,0.852632
lampereur andrew,morgan bennett j,GNRC,0.826389
conway christopher,lindsay david j,CLC,1
conway christopher,wolfson richard m,CLC,0.882857
lindsay david j,wolfson richard m,CLC,0.882857
alverson luke,sullivan don,CSWI,0.90375
livingstone linda a.,swartz robert m,CSWI,0.878906
basile donald g,doll dixon r jr.,CMPO,0.962963
kopnisky jack l,whitwell rodney,STL,0.883838
peoples james r.,whitwell rodney,STL,0.840567
leone douglas m,moritz michael j,ELVT,1
amon cristiano r,thompson james h,QCOM,0.853637
agbaje segun,cooper edith w,PEP,0.8
brown shona l,cook ian m,PEP,0.909091
brown shona l,dublon dina,PEP,0.835227
brown shona l,page david c,PEP,0.825397
brown shona l,pohlad robert c,PEP,0.844444
brown shona l,weisser alberto,PEP,0.909091
buckley george w,trotter lloyd g,PEP,0.8
conde cesar,cook ian m,PEP,0.909091
conde cesar,dublon dina,PEP,0.835227
conde cesar,gass michelle,PEP,0.833333
conde cesar,page david c,PEP,0.928571
conde cesar,pohlad robert c,PEP,0.95
conde cesar,walker darren,PEP,0.972222
conde cesar,weisser alberto,PEP,0.909091
cook ian m,dublon dina,PEP,0.918403
cook ian m,page david c,PEP,0.930736
cook ian m,pohlad robert c,PEP,0.954545
cook ian m,vasella daniel,PEP,0.818452
cook ian m,walker darren,PEP,0.886364
cook ian m,weisser alberto,PEP,1
dublon dina,page david c,PEP,0.854863
dublon dina,pohlad robert c,PEP,0.876812
dublon dina,walker darren,PEP,0.814438
dublon dina,weisser alberto,PEP,0.918403
fisher richard w,johnson william r,PEP,0.884615
gass michelle,pohlad robert c,PEP,0.8
gass michelle,walker darren,PEP,0.852941
page david c,pohlad robert c,PEP,0.97619
page david c,walker darren,PEP,0.904762
page david c,weisser alberto,PEP,0.930736
pohlad robert c,walker darren,PEP,0.925
pohlad robert c,weisser alberto,PEP,0.954545
vasella daniel,weisser alberto,PEP,0.818452
walker darren,weisser alberto,PEP,0.886364
chung hwan-yoon,kane kerry m,ENS,0.888889
chung hwan-yoon,magnus robert,ENS,1
kane kerry m,magnus robert,ENS,0.888889
katsaros arthur t,tufano paul j,ENS,0.842105
tufano paul j,vargo ronald p,ENS,0.921053
bernshteyn robert,ford todd r,COUP,0.811382
fails karl r,hand brian a,SUN,0.933355
fails karl r,kim joseph,SUN,1
hand brian a,kim joseph,SUN,0.933355
dinan curtis,lawhorn caron a,OGS,0.9025
dinan curtis,mccormick joseph l,OGS,0.9025
dinan curtis,norton pierce,OGS,0.826446
lawhorn caron a,mccormick joseph l,OGS,1
lawhorn caron a,norton pierce,OGS,0.911157
mccormick joseph l,norton pierce,OGS,0.911157
dakos andrew,goldstein phillip,CTF,1
dakos andrew,samuels steven,CTF,1
goldstein phillip,samuels steven,CTF,1
nicholls matthew,shaneyfelt gwen l,BEN,0.882857
begley christopher b,brown david s,DV,0.845865
begley christopher b,logan lyle,DV,1
begley christopher b,ruiz fernando,DV,0.909821
begley christopher b,taylor ronald l,DV,0.951128
begley christopher b,wardell lisa w,DV,0.95098
brown david s,logan lyle,DV,0.845865
brown david s,ruiz fernando,DV,0.930839
brown david s,wardell lisa w,DV,0.902116
de lardemelle charles,de vaulx charles,DV,0.966667
logan lyle,ruiz fernando,DV,0.909821
logan lyle,taylor ronald l,DV,0.951128
logan lyle,wardell lisa w,DV,0.95098
ruiz fernando,taylor ronald l,DV,0.863095
ruiz fernando,wardell lisa w,DV,0.87218
taylor ronald l,wardell lisa w,DV,0.902116
attwood james a jr,zalaznick lauren,NLSN,0.825893
barns dwight,charlton jeffrey,NLSN,0.805271
barns dwight,jackson jamere,NLSN,0.827497
charlton jeffrey,dale eric j,NLSN,0.820707
dale eric j,tavolieri giovanni,NLSN,0.855769
hasker stephen,jackson jamere,NLSN,0.890947
hoguet karen m,pozen robert c,NLSN,0.805594
pozen robert c,teruel javier g,NLSN,0.88141
grossman mindy f,hotchkin nicholas p,WW,1
grossman mindy f,kossover amy,WW,0.8
hotchkin nicholas p,kossover amy,WW,0.8
kossover amy,lysaght michael,WW,0.9
alterio ronald vincent,horvath allen,BDR,0.923077
alterio ronald vincent,skolnik eric s,BDR,0.888889
horvath allen,skolnik eric s,BDR,0.962963
aaron sammy,goldfarb jeffrey david,GIII,0.800347
goldfarb jeffrey david,miller wayne s,GIII,0.897109
goldfarb jeffrey david,nackman neal,GIII,0.832808
miller wayne s,nackman neal,GIII,0.826136
bart andrew john,stevenson tami e.,CRDA CRDB,0.85119
bart andrew john,swain william b jr,CRDA CRDB,0.952632
bart andrew john,thomas larry climeteen,CRDA CRDB,0.822981
bart andrew john,van bakel patrick j,CRDA CRDB,0.947059
blanco joseph o,stevenson tami e.,CRDA CRDB,0.885611
blanco joseph o,swain william b jr,CRDA CRDB,0.8
stevenson tami e.,swain william b jr,CRDA CRDB,0.885611
stevenson tami e.,van bakel patrick j,CRDA CRDB,0.80839
swain william b jr,thomas larry climeteen,CRDA CRDB,0.857143
swain william b jr,van bakel patrick j,CRDA CRDB,0.9
luo mary z.,zhang jack y.,AMPH,1
green logan,zimmer john patrick,LYFT,0.886607
shmunis sandra,shmunis vladimir,RNG,0.94002
gilbert cory,long robert w.,OHAI,0.972973
gilbert cory,oran stuart i,OHAI,1
gilbert cory,stern james a,OHAI,1
gilbert cory,tannura frank v,OHAI,1
long robert w.,oran stuart i,OHAI,0.972973
long robert w.,stern james a,OHAI,0.972973
long robert w.,tannura frank v,OHAI,0.972973
oran stuart i,stern james a,OHAI,1
oran stuart i,tannura frank v,OHAI,1
stern james a,tannura frank v,OHAI,1
hewitt melissa joy,weinrauch steve,TRUP,0.909167
feldman alan d,oakland steven,FL,0.95
deshpande samir,diamond susan m,HUM,0.905242
deshpande samir,ventura joseph c,HUM,0.9375
diamond susan m,ventura joseph c,HUM,0.967672
grissen david,light mark,RGS,0.944444
grissen david,merriman michael j,RGS,0.944444
grissen david,rhoades m ann,RGS,0.875
light mark,merriman michael j,RGS,1
light mark,rhoades m ann,RGS,0.944444
merriman michael j,rhoades m ann,RGS,0.944444
mangiardi vito j,peterson jeffrey n,PBIO,1
mangiardi vito j,pollack kevin,PBIO,1
mangiardi vito j,schumacher richard t,PBIO,0.875
mangiardi vito j,urdea michael s,PBIO,1
peterson jeffrey n,pollack kevin,PBIO,1
peterson jeffrey n,schumacher richard t,PBIO,0.875
peterson jeffrey n,urdea michael s,PBIO,1
pollack kevin,schumacher richard t,PBIO,0.875
pollack kevin,urdea michael s,PBIO,1
schumacher richard t,urdea michael s,PBIO,0.875
lindenbaum bennett d,lindenbaum matthew a,DCOM,1
chan chi-foon,logan joseph w,SNPS,0.899833
bae joseph y,nuttall scott c,KKR,0.880952
dillon mary n,niel xavier bruno,KKR,0.941176
dillon mary n,russo patricia f,KKR,0.833333
dillon mary n,scully robert w,KKR,0.833333
drummond david c,grundfest joseph,KKR,0.9
drummond david c,hess john b,KKR,0.852632
drummond david c,russo patricia f,KKR,0.833333
drummond david c,schoewe thomas m,KKR,0.944444
drummond david c,scully robert w,KKR,0.833333
grundfest joseph,hess john b,KKR,0.952381
grundfest joseph,russo patricia f,KKR,0.916667
grundfest joseph,schoewe thomas m,KKR,0.95
grundfest joseph,scully robert w,KKR,0.916667
hess john b,russo patricia f,KKR,0.876812
hess john b,schoewe thomas m,KKR,0.9025
hess john b,scully robert w,KKR,0.876812
russo patricia f,schoewe thomas m,KKR,0.875
russo patricia f,scully robert w,KKR,1
schoewe thomas m,scully robert w,KKR,0.875
brandt eric,cannon michael r,LRCX,0.916667
brandt eric,lego catherine p,LRCX,0.820455
brandt eric,talwalkar abhijit y,LRCX,0.916667
brandt eric,tsai lih shyng (rick),LRCX,0.820455
cannon michael r,lego catherine p,LRCX,0.820455
cannon michael r,talwalkar abhijit y,LRCX,0.916667
cannon michael r,tsai lih shyng (rick),LRCX,0.820455
lego catherine p,talwalkar abhijit y,LRCX,0.820455
talwalkar abhijit y,tsai lih shyng (rick),LRCX,0.820455
cole lecil e,snyder james e,CVGW,0.889062
cole lecil e,wedin robert j,CVGW,0.852941
lindeman bruce john,snyder james e,CVGW,0.820437
snyder james e,wedin robert j,CVGW,0.827941
garner charles e ii,kuba shaul,CMCT,0.894003
garner charles e ii,ressler richard s,CMCT,0.885487
garner charles e ii,shemesh avraham,CMCT,0.894003
kuba shaul,ressler richard s,CMCT,0.990002
kuba shaul,shemesh avraham,CMCT,1
ressler richard s,shemesh avraham,CMCT,0.990002
al khayyal abdulaziz fahd,bunch charles e,MPC,0.808081
al khayyal abdulaziz fahd,stice j michael,MPC,0.944444
al khayyal abdulaziz fahd,surma john p,MPC,0.808081
bayh evan,bunch charles e,MPC,0.871212
bayh evan,stice j michael,MPC,0.833333
bayh evan,surma john p,MPC,0.958333
bunch charles e,stice j michael,MPC,0.863636
bunch charles e,surma john p,MPC,0.909091
rucker kim k.w.,stice j michael,MPC,0.827206
stice j michael,surma john p,MPC,0.863636
landes joshua,obus nelson,QRHC,1
blankenship c ronald,linneman peter,REG,0.863636
bradford gregory r,koegel j william jr,CACI,0.839286
daniels michael a,jews william l,CACI,0.805556
gray deette,koegel j william jr,CACI,0.873188
jews william l,johnson gregory g,CACI,0.88
koegel j william jr,mengucci john s,CACI,0.816129
pavitt james l,phillips warren r,CACI,0.824495
grise cheryl w,herzog david l,MET,0.839501
grise cheryl w,hubbard robert glenn,MET,0.974359
grise cheryl w,kelly edward j iii,MET,0.948061
grise cheryl w,kennard william e,MET,0.974359
grise cheryl w,kinney catherine r,MET,0.921764
gutierrez carlos m,morrison denise m,MET,0.944444
hassell gerald l,herzog david l,MET,0.875
hassell gerald l,hubbard robert glenn,MET,0.815789
hassell gerald l,kelly edward j iii,MET,0.833333
hassell gerald l,kennard william e,MET,0.815789
hassell gerald l,kinney catherine r,MET,0.852941
hassell gerald l,mckenzie diana,MET,0.85119
herzog david l,hubbard robert glenn,MET,0.863487
herzog david l,kelly edward j iii,MET,0.885417
herzog david l,kennard william e,MET,0.863487
herzog david l,mckenzie diana,MET,0.870536
hubbard robert glenn,kelly edward j iii,MET,0.973684
hubbard robert glenn,kennard william e,MET,1
hubbard robert glenn,kinney catherine r,MET,0.947368
hubbard robert glenn,mckenzie diana,MET,0.806391
kelly edward j iii,kennard william e,MET,0.973684
kelly edward j iii,kinney catherine r,MET,0.915033
kelly edward j iii,mckenzie diana,MET,0.825397
kennard william e,kinney catherine r,MET,0.947368
kennard william e,mckenzie diana,MET,0.806391
